,Unnamed: 0,Author,Published,Comment,Likes,Dislikes,Article,Keyword,Year,Month,Day,Sentiment
354,354,'Woden Loki,2012-07-07T10:38:37,incr vel rodrigo voc disse retrato falado caricaturo cultura povo pais triste ver limitada cultura liter ria divina simplesmente aberrante pleno seculo xxi ver povo brasileiro alienado culturas medievais si viv ssemos idade media,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
356,356,'Eduardo Santos,2012-07-07T10:18:09,gente confunde ciencia religiao resolve misturar duas coisas aline cuidado comenta,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
361,361,'Roberto FranÃƒÂ§a,2012-07-07T10:19:16,porque sera robo mostra s deserto crateras marte,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
365,365,'Woxxfull,2012-07-07T11:20:43,juarez oliveira teclado aceita tudo voc n aceita unico favelado aqui voc virgem feio monkey favela aposto dinheiro pra acessar pc aposto pc roubado marginal favela,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
366,366,'AndrÃƒÂ© Oliveira,2012-07-07T11:08:47,tudo vira motivo brasileiro engrandecer achar melhor outros ganham j perceberam todas es mundo cantam hino eventos esportivos s brasileiros n motivo pa s conquista independ ncia grito armas guerra luta quer guerra mundial americano matando todo mundo brasileiros acesso armas v virar costas deixar invadir pois s submissos baba ovos tio sam,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
377,377,'Nilson Fm, 07 Jul 2012 12:40:23,cai ignorante arrogante chamar piau cidade dose,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
379,379,'Woxxfull,2012-07-07T12:09:06,antonio pontes n julgo sabio apenas tava defendendo brasil wanda gomes acho voc deveria ver coment rios anterior of shit voc merd pobre monkey favela detected,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
380,380,'Antonio Pontes,2012-07-07T12:02:53,woxxfull of shit pensa sabe amigo vai estudar pouco criticar pessoas ofende las cada segue caminho quiser vc julga tao superior assim deveria ir morar espanha cuidado nao deportar ir alemanha opa la nao aceitam idiotas vc entao resultado final pra ti eh continuar terra tupiniquim said enough,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
381,381,'Woden Loki,2012-07-07T14:12:42,aline jordana sera menos neur nio cabecinha n contaminado literaturas evang licas mitol gicas maneira voc compreender qu mica exist ncia tudo interessante criacionistas vivem criticando ci ncia deleitando autom veis telefones computadores tantos outros benef cios mundinho medieval,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
385,385,'Bruno Datnas,2012-07-07T12:31:07,v fazer corple circle la mostrando somo idiotas monte gente passando fome doente preferem perder tempo dinheiro marcianos s infinitamente superiores n s n ficam rindo cara desviar porcarias superficie lua ninguem perceber alem burros otarios,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
